club_name,total_matches,tou_in_box,hit_post,offsides,total_penalties,penalties_goals,toal_freekicks,freekicks_goals,total_headers,headers_goals,total_fast_breakes,fast_breaks_goals,club_id
Man City,38,1409,18,44,4,3,13,0,92,9,33,9,a3nyxabgsqlnqfkeg41m6tnpp
Liverpool,38,1278,18,76,2,1,18,4,84,7,51,7,c8h9bw1l82s06h77xxrelzhur
Arsenal,38,1255,16,61,4,4,8,0,104,16,35,4,4dsgumo7d4zupm2ugsvm4zm4d
Brighton,38,1074,13,64,5,3,15,1,87,8,22,1,e5p0ehyguld7egzhiedpdnc3w
Man Utd,38,1047,22,52,6,4,6,1,108,14,41,5,6eqit8ye8aomdsrrq0hk3v7gh
Chelsea,38,1005,18,58,8,7,22,3,77,10,39,5,9q0arba2kbnywth8bkxlhgmdr
Newcastle,38,990,19,49,6,6,13,0,88,10,37,3,7vn2i2kd35zuetw6b38gw9jsz
Aston Villa,38,981,15,42,0,0,15,2,70,8,32,4,b496gs285it6bheuikox6z9mj
Fulham,38,951,10,65,5,5,13,1,81,8,25,2,hzqh7z0mdl3v7gwete66syxp
Bournemouth,38,950,18,73,6,5,21,2,68,5,41,9,1pse9ta7a45pi2w2grjim70ge
Brentford,38,944,16,58,10,8,10,0,124,12,50,9,7yx5dqhhphyvfisohikodajhv
Spurs,38,924,11,58,0,0,12,0,96,13,15,2,22doj4sgsocqpxw45h607udje
Crystal Palace,38,905,18,71,8,8,6,0,95,11,37,0,1c8m2ko0wxq1asfkuykurdr0y
Leeds,38,899,13,60,8,6,10,3,108,6,31,3,48gk2hpqtsl6p9sx9kjhaydq4
Everton,38,894,16,52,2,2,11,0,89,8,30,5,ehd2iemqmschhj2ec0vayztzz
Nottm Forest,38,844,7,61,3,3,13,1,91,10,36,4,1qtaiy11gswx327s0vkibf70n
West Ham,38,771,9,66,3,3,5,0,84,11,43,7,4txjdaqveermfryvbfrr4taf7
Sunderland,38,764,11,55,5,4,7,0,66,7,24,3,1r3545b2dzan8yqa80gtmcjch
Wolves,38,756,14,53,5,3,19,0,98,5,19,3,b9si1jn1lfxfund69e9ogcu2n
Burnley,38,650,10,57,2,2,14,0,58,6,24,1,64bxxwu2mv2qqlv0monbkj1om
