club_name,matches_played,goal,xg,goals_vs_xg,shots,sot,conv_percentage,xg_per_shot,club_id
Man City,38,77,71.01,5.99,594,205,12.96%,0.12,a3nyxabgsqlnqfkeg41m6tnpp
Chelsea,38,58,66.53,-8.53,509,166,11.39%,0.13,9q0arba2kbnywth8bkxlhgmdr
Arsenal,38,71,65.60,5.40,553,187,12.84%,0.12,4dsgumo7d4zupm2ugsvm4zm4d
Man Utd,38,69,65.49,3.51,596,216,11.58%,0.11,6eqit8ye8aomdsrrq0hk3v7gh
Bournemouth,38,58,61.90,-3.90,524,177,11.07%,0.12,1pse9ta7a45pi2w2grjim70ge
Liverpool,38,63,61.35,1.65,589,175,10.70%,0.10,c8h9bw1l82s06h77xxrelzhur
Brentford,38,55,60.26,-5.26,405,147,13.58%,0.15,7yx5dqhhphyvfisohikodajhv
Crystal Palace,38,41,58.18,-17.18,442,142,9.28%,0.13,1c8m2ko0wxq1asfkuykurdr0y
Brighton,38,52,57.90,-5.90,495,176,10.51%,0.12,e5p0ehyguld7egzhiedpdnc3w
Newcastle,38,53,57.13,-4.13,492,176,10.77%,0.12,7vn2i2kd35zuetw6b38gw9jsz
Leeds,38,49,54.24,-5.24,478,151,10.25%,0.11,48gk2hpqtsl6p9sx9kjhaydq4
Fulham,38,47,48.36,-1.36,484,140,9.71%,0.10,hzqh7z0mdl3v7gwete66syxp
Aston Villa,38,56,48.20,7.80,483,170,11.59%,0.10,b496gs285it6bheuikox6z9mj
Everton,38,47,46.70,0.30,422,142,11.14%,0.11,ehd2iemqmschhj2ec0vayztzz
West Ham,38,46,46.14,-0.14,404,142,11.39%,0.11,4txjdaqveermfryvbfrr4taf7
Nottm Forest,38,48,45.99,2.01,476,156,10.08%,0.10,1qtaiy11gswx327s0vkibf70n
Spurs,38,48,40.09,7.91,436,146,11.01%,0.09,22doj4sgsocqpxw45h607udje
Sunderland,38,42,38.89,3.11,396,130,10.61%,0.10,1r3545b2dzan8yqa80gtmcjch
Wolves,38,27,35.52,-8.52,370,123,7.30%,0.10,b9si1jn1lfxfund69e9ogcu2n
Burnley,38,38,32.51,5.49,355,118,10.70%,0.09,64bxxwu2mv2qqlv0monbkj1om
