club_name,matches_played,tou_in_box,hit_post,offsides,total_penalties,penalties_goals,total_freekicks,freekicks_goals,total_headers,headers_goal,total_fast_breaks,fast_breaks_goals,club_id
Burnley,38,1269,15,55,8,7,12,0,120,15,36,7,64bxxwu2mv2qqlv0monbkj1om
West Ham,38,1120,10,43,7,6,15,0,135,16,32,2,4txjdaqveermfryvbfrr4taf7
Sunderland,38,1085,14,44,3,2,15,0,96,11,34,7,1r3545b2dzan8yqa80gtmcjch
Bournemouth,38,1083,12,45,6,6,10,4,84,8,36,4,1pse9ta7a45pi2w2grjim70ge
Wolves,38,1064,14,51,5,5,16,1,96,12,38,6,b9si1jn1lfxfund69e9ogcu2n
Brentford,38,1040,14,37,8,5,8,0,79,13,28,6,7yx5dqhhphyvfisohikodajhv
Everton,38,1023,12,41,4,3,11,0,98,11,27,6,ehd2iemqmschhj2ec0vayztzz
Nottm Forest,38,1004,12,35,6,5,14,1,98,6,34,5,1qtaiy11gswx327s0vkibf70n
Newcastle,38,969,12,44,5,5,12,1,73,12,52,5,7vn2i2kd35zuetw6b38gw9jsz
Crystal Palace,38,959,6,55,7,5,15,1,95,9,30,5,1c8m2ko0wxq1asfkuykurdr0y
Fulham,38,956,12,99,4,3,10,0,76,6,34,5,hzqh7z0mdl3v7gwete66syxp
Brighton,38,953,4,56,6,5,11,1,83,7,38,2,e5p0ehyguld7egzhiedpdnc3w
Man Utd,38,937,11,63,4,4,15,2,79,9,33,7,6eqit8ye8aomdsrrq0hk3v7gh
Aston Villa,38,936,5,110,2,1,9,1,90,7,31,2,b496gs285it6bheuikox6z9mj
Leeds,38,931,10,81,6,6,14,2,97,9,22,3,48gk2hpqtsl6p9sx9kjhaydq4
Spurs,38,923,6,67,3,3,15,1,96,6,21,1,22doj4sgsocqpxw45h607udje
Chelsea,38,855,10,54,2,2,15,0,82,13,31,4,9q0arba2kbnywth8bkxlhgmdr
Liverpool,38,853,12,59,4,3,17,1,78,6,34,5,c8h9bw1l82s06h77xxrelzhur
Man City,38,713,12,111,2,1,10,1,59,3,46,3,a3nyxabgsqlnqfkeg41m6tnpp
Arsenal,38,618,8,25,0,0,7,1,54,5,28,1,4dsgumo7d4zupm2ugsvm4zm4d
