club_name,matches_played,avg_poss,tackles,ints,recs,blks,clrs,ground_duels_won,aerial_duels_won,club_id
Man City,38,60.5%,547,302,1753,126,820,50.6%,57.5%,a3nyxabgsqlnqfkeg41m6tnpp
Liverpool,38,59.3%,494,264,1718,132,959,49.0%,54.4%,c8h9bw1l82s06h77xxrelzhur
Chelsea,38,57.7%,592,371,1754,117,833,50.7%,51.5%,9q0arba2kbnywth8bkxlhgmdr
Arsenal,38,56.2%,602,269,1711,130,903,51.7%,51.2%,4dsgumo7d4zupm2ugsvm4zm4d
Brighton,38,54.1%,676,322,1854,126,895,48.1%,50.8%,e5p0ehyguld7egzhiedpdnc3w
Aston Villa,38,53.6%,587,238,1663,168,798,49.4%,50.0%,b496gs285it6bheuikox6z9mj
Newcastle,38,52.6%,550,277,1858,153,1002,49.3%,54.1%,7vn2i2kd35zuetw6b38gw9jsz
Man Utd,38,51.8%,693,325,1821,147,949,51.8%,50.6%,6eqit8ye8aomdsrrq0hk3v7gh
Fulham,38,51.7%,650,326,1726,148,1010,51.8%,50.2%,hzqh7z0mdl3v7gwete66syxp
Spurs,38,50.4%,743,319,1857,140,1010,50.3%,47.0%,22doj4sgsocqpxw45h607udje
Bournemouth,38,50.1%,654,366,1967,170,1173,49.0%,46.7%,1pse9ta7a45pi2w2grjim70ge
Brentford,38,47.6%,554,331,1923,179,1111,46.8%,50.6%,7yx5dqhhphyvfisohikodajhv
Nottm Forest,38,46.8%,644,302,1803,180,973,50.6%,47.1%,1qtaiy11gswx327s0vkibf70n
Crystal Palace,38,45.9%,705,314,1775,128,1279,50.0%,48.4%,1c8m2ko0wxq1asfkuykurdr0y
Leeds,38,45.8%,661,340,1710,153,1158,50.3%,47.5%,48gk2hpqtsl6p9sx9kjhaydq4
Sunderland,38,44.9%,585,299,1698,172,1159,50.6%,49.1%,1r3545b2dzan8yqa80gtmcjch
Everton,38,43.7%,702,311,1782,190,1131,50.8%,54.5%,ehd2iemqmschhj2ec0vayztzz
Wolves,38,42.7%,724,324,1754,153,1100,50.2%,47.3%,b9si1jn1lfxfund69e9ogcu2n
West Ham,38,42.5%,671,347,1731,186,1102,51.3%,48.5%,4txjdaqveermfryvbfrr4taf7
Burnley,38,42.3%,637,343,1731,194,1142,47.7%,46.0%,64bxxwu2mv2qqlv0monbkj1om
