club_name,subs_used,subs_goals,errors_lead_to_shot,errors_lead_to_goal,fouled,yellows,reds,pens_won,fouls,opp_yellows,opp_reds,pens_conceded,club_id
Brighton,178,12,36,12,371,86,0,5,436,77,1,6,e5p0ehyguld7egzhiedpdnc3w
Arsenal,167,11,27,5,409,51,0,4,380,70,2,0,4dsgumo7d4zupm2ugsvm4zm4d
Aston Villa,175,11,41,14,473,58,1,0,373,90,2,2,b496gs285it6bheuikox6z9mj
Fulham,180,10,31,8,361,75,1,5,398,63,4,4,hzqh7z0mdl3v7gwete66syxp
West Ham,134,9,26,8,385,68,3,3,402,75,0,7,4txjdaqveermfryvbfrr4taf7
Bournemouth,173,9,21,3,384,88,2,6,444,69,4,6,1pse9ta7a45pi2w2grjim70ge
Sunderland,137,8,38,10,409,82,3,5,392,72,2,3,1r3545b2dzan8yqa80gtmcjch
Burnley,173,8,33,11,334,64,3,2,378,45,1,8,64bxxwu2mv2qqlv0monbkj1om
Newcastle,170,7,35,7,440,63,3,6,362,91,2,5,7vn2i2kd35zuetw6b38gw9jsz
Crystal Palace,136,7,31,7,356,74,2,8,373,65,4,7,1c8m2ko0wxq1asfkuykurdr0y
Leeds,164,6,18,3,415,62,1,8,382,67,1,6,48gk2hpqtsl6p9sx9kjhaydq4
Wolves,157,6,41,15,403,77,3,5,483,62,3,5,b9si1jn1lfxfund69e9ogcu2n
Man Utd,148,5,28,5,394,62,3,6,378,75,5,4,6eqit8ye8aomdsrrq0hk3v7gh
Spurs,165,5,46,14,378,99,4,0,447,70,1,3,22doj4sgsocqpxw45h607udje
Chelsea,158,5,33,9,447,90,8,8,409,81,3,2,9q0arba2kbnywth8bkxlhgmdr
Everton,128,5,34,9,404,72,4,2,394,61,0,4,ehd2iemqmschhj2ec0vayztzz
Liverpool,151,4,32,6,387,57,1,2,372,75,5,4,c8h9bw1l82s06h77xxrelzhur
Nottm Forest,155,4,39,10,423,60,1,3,387,66,1,6,1qtaiy11gswx327s0vkibf70n
Brentford,136,3,29,10,339,69,1,10,377,72,1,8,7yx5dqhhphyvfisohikodajhv
Man City,147,2,31,6,413,67,0,4,358,78,2,2,a3nyxabgsqlnqfkeg41m6tnpp
