club_name,matches_played,avg_poss,total_all_passes,successful_all_passes,all_passes_percentage,total_final_third_passes,successful_final_third_passes,final_third_percentage,fwd_pass_direction,bwd_pass_direction,left_pass_direction,right_pass_direction,total_crosses,successful_crosses,crosses_percentage,through_balls,club_id
Man City,38,60.5%,22342,19776,88.5%,6895,5606,81.3%,26.2%,16.6%,28.5%,28.6%,393,91,23.2%,127,a3nyxabgsqlnqfkeg41m6tnpp
Liverpool,38,59.3%,20188,17305,85.7%,6616,5168,78.1%,31.2%,15.2%,27.1%,26.4%,513,92,17.9%,83,c8h9bw1l82s06h77xxrelzhur
Chelsea,38,57.7%,20535,17905,87.2%,5251,4027,76.7%,27.4%,15.9%,28.3%,28.5%,476,96,20.2%,98,9q0arba2kbnywth8bkxlhgmdr
Arsenal,38,56.2%,17897,15076,84.2%,5787,4295,74.2%,31.2%,14.4%,27.5%,26.9%,437,96,22.0%,127,4dsgumo7d4zupm2ugsvm4zm4d
Brighton,38,54.1%,18128,15213,83.9%,4770,3332,69.8%,31.1%,16.1%,26.1%,26.7%,526,131,24.9%,39,e5p0ehyguld7egzhiedpdnc3w
Aston Villa,38,53.6%,17130,14614,85.3%,4732,3523,74.5%,31.2%,15.7%,25.9%,27.2%,427,78,18.3%,67,b496gs285it6bheuikox6z9mj
Newcastle,38,52.6%,17098,14224,83.2%,5183,3755,72.5%,33.9%,14.8%,25.7%,25.5%,635,127,20.0%,62,7vn2i2kd35zuetw6b38gw9jsz
Man Utd,38,51.8%,17690,14659,82.9%,5078,3752,73.9%,33.0%,16.4%,24.8%,25.8%,444,117,26.4%,112,6eqit8ye8aomdsrrq0hk3v7gh
Fulham,38,51.7%,18017,15116,83.9%,4543,3284,72.3%,31.0%,16.1%,26.4%,26.6%,504,119,23.6%,48,hzqh7z0mdl3v7gwete66syxp
Spurs,38,50.4%,15715,12829,81.6%,4192,2904,69.3%,33.6%,15.9%,24.0%,26.6%,556,123,22.1%,28,22doj4sgsocqpxw45h607udje
Bournemouth,38,50.1%,15727,12595,80.1%,4887,3305,67.6%,35.5%,16.6%,23.8%,24.1%,523,101,19.3%,73,1pse9ta7a45pi2w2grjim70ge
Brentford,38,47.6%,15024,11901,79.2%,3992,2475,62.0%,36.0%,15.9%,24.3%,23.8%,468,112,23.9%,55,7yx5dqhhphyvfisohikodajhv
Nottm Forest,38,46.8%,15520,12739,82.1%,4599,3341,72.7%,35.3%,17.1%,23.4%,24.2%,628,131,20.9%,43,1qtaiy11gswx327s0vkibf70n
Crystal Palace,38,45.9%,14920,11663,78.2%,4121,2532,61.4%,35.2%,14.0%,25.4%,25.4%,417,89,21.3%,75,1c8m2ko0wxq1asfkuykurdr0y
Leeds,38,45.8%,15039,11935,79.4%,3841,2403,62.6%,35.3%,16.1%,24.4%,24.1%,464,103,22.2%,28,48gk2hpqtsl6p9sx9kjhaydq4
Sunderland,38,44.9%,14252,11305,79.3%,4076,2607,64.0%,37.5%,16.3%,23.5%,22.8%,443,75,16.9%,51,1r3545b2dzan8yqa80gtmcjch
Everton,38,43.7%,14474,11535,79.7%,4699,3215,68.4%,35.4%,16.2%,25.5%,22.9%,466,101,21.7%,57,ehd2iemqmschhj2ec0vayztzz
Wolves,38,42.7%,13821,10982,79.5%,3475,2217,63.8%,35.1%,16.6%,24.4%,23.8%,524,141,26.9%,31,b9si1jn1lfxfund69e9ogcu2n
West Ham,38,42.5%,13978,11016,78.8%,3871,2492,64.4%,36.5%,15.7%,24.3%,23.6%,424,87,20.5%,50,4txjdaqveermfryvbfrr4taf7
Burnley,38,42.3%,14626,11568,79.1%,3900,2531,64.9%,34.5%,15.5%,25.4%,24.6%,370,75,20.3%,38,64bxxwu2mv2qqlv0monbkj1om
