club_id,player_id,player_name,club_name,birth_date
4txjdaqveermfryvbfrr4taf7,p247670,Valentín Castellanos,West Ham,1998-10-03
a3nyxabgsqlnqfkeg41m6tnpp,p510281,Savinho,Man City,2004-04-10
1c8m2ko0wxq1asfkuykurdr0y,p244723,Tyrick Mitchell,Crystal Palace,1999-09-01
1c8m2ko0wxq1asfkuykurdr0y,p502988,Danny Imray,Crystal Palace,2003-07-27
b496gs285it6bheuikox6z9mj,p199796,Matty Cash,Aston Villa,1997-08-07
4txjdaqveermfryvbfrr4taf7,p220362,Axel Disasi,West Ham,1998-03-11
7vn2i2kd35zuetw6b38gw9jsz,p101148,Jamaal Lascelles,Newcastle,1993-11-11
4dsgumo7d4zupm2ugsvm4zm4d,p154561,David Raya,Arsenal,1995-09-15
b496gs285it6bheuikox6z9mj,p178301,Ollie Watkins,Aston Villa,1995-12-30
ehd2iemqmschhj2ec0vayztzz,p513466,Merlin Röhl,Everton,2002-07-05
64bxxwu2mv2qqlv0monbkj1om,p67089,Martin Dúbravka,Burnley,1989-01-15
b496gs285it6bheuikox6z9mj,p166989,Youri Tielemans,Aston Villa,1997-05-07
a3nyxabgsqlnqfkeg41m6tnpp,p590039,Divine Mukasa,Man City,2007-08-22
4txjdaqveermfryvbfrr4taf7,p630699,Mohamadou Kanté,West Ham,2005-09-20
9q0arba2kbnywth8bkxlhgmdr,p463936,Jamie Gittens,Chelsea,2004-08-08
a3nyxabgsqlnqfkeg41m6tnpp,p59859,Ilkay Gündogan,Man City,1990-10-24
ehd2iemqmschhj2ec0vayztzz,p440993,Iliman Ndiaye,Everton,2000-03-06
1r3545b2dzan8yqa80gtmcjch,p515046,Melker Ellborg,Sunderland,2003-05-22
4dsgumo7d4zupm2ugsvm4zm4d,p466075,Riccardo Calafiori,Arsenal,2002-05-19
1c8m2ko0wxq1asfkuykurdr0y,p242898,Brennan Johnson,Crystal Palace,2001-05-23
9q0arba2kbnywth8bkxlhgmdr,p493105,Alejandro Garnacho,Chelsea,2004-07-01
6eqit8ye8aomdsrrq0hk3v7gh,p216051,Diogo Dalot,Man Utd,1999-03-18
a3nyxabgsqlnqfkeg41m6tnpp,p580921,Reigan Heskey,Man City,2008-01-18
e5p0ehyguld7egzhiedpdnc3w,p532529,Jack Hinshelwood,Brighton,2005-04-11
1pse9ta7a45pi2w2grjim70ge,p489888,Amine Adli,Bournemouth,2000-05-10
1qtaiy11gswx327s0vkibf70n,p159506,Ola Aina,Nottm Forest,1996-10-08
b9si1jn1lfxfund69e9ogcu2n,p441271,Ki-Jana Hoever,Wolves,2002-01-18
1qtaiy11gswx327s0vkibf70n,p500151,Nicolò Savona,Nottm Forest,2003-03-19
7yx5dqhhphyvfisohikodajhv,p507433,Hákon Valdimarsson,Brentford,2001-10-13
e5p0ehyguld7egzhiedpdnc3w,p547720,Charlie Tasker,Brighton,2006-02-24
48gk2hpqtsl6p9sx9kjhaydq4,p221399,Jack Harrison,Leeds,1996-11-20
b496gs285it6bheuikox6z9mj,p101188,Lucas Digne,Aston Villa,1993-07-20
