player_name,matches_played,mins,goals_conceded,saves_made,save_percentage,xgot_conceded,goals_prevented,gp_rate,player_id,club_id,club_name
Senne Lammens,32,2880,39,79,67.0,43.5,6.5,1.2,p465247,6eqit8ye8aomdsrrq0hk3v7gh,Man Utd
Gianluigi Donnarumma,34,3060,29,78,72.9,34.7,5.7,1.2,p204936,a3nyxabgsqlnqfkeg41m6tnpp,Man City
Bart Verbruggen,38,3420,46,106,69.7,47.5,5.5,1.1,p489639,e5p0ehyguld7egzhiedpdnc3w,Brighton
Jordan Pickford,38,3420,50,100,66.7,52.6,3.6,1.1,p111234,ehd2iemqmschhj2ec0vayztzz,Everton
Matz Sels,31,2667,39,95,70.9,39.6,3.6,1.1,p85633,1qtaiy11gswx327s0vkibf70n,Nott'm Forest
Dean Henderson,37,3330,51,106,67.5,52.3,3.3,1.1,p172649,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
Emiliano Martínez,32,2835,39,95,70.9,42.1,3.1,1.1,p98980,b496gs285it6bheuikox6z9mj,Aston Villa
Robert Sánchez,35,3041,47,98,67.6,48.7,2.7,1.0,p215059,9q0arba2kbnywth8bkxlhgmdr,Chelsea
James Trafford,4,360,6,14,70.0,8.5,2.5,1.3,p432720,a3nyxabgsqlnqfkeg41m6tnpp,Man City
Caoimhín Kelleher,37,3330,49,110,69.2,48.8,1.8,1.0,p200720,7yx5dqhhphyvfisohikodajhv,Brentford
Max Weiss,3,270,4,10,71.4,5.6,1.6,1.3,p518030,64bxxwu2mv2qqlv0monbkj1om,Burnley
Stefan Ortega,3,270,4,8,66.7,5.2,1.1,1.3,p88248,1qtaiy11gswx327s0vkibf70n,Nott'm Forest
Martin Dúbravka,35,3150,71,127,64.1,67.7,0.7,1.0,p67089,64bxxwu2mv2qqlv0monbkj1om,Burnley
Aaron Ramsdale,12,1003,17,25,59.5,16.7,0.7,1.0,p225321,7vn2i2kd35zuetw6b38gw9jsz,Newcastle
Marco Bizot,7,585,10,19,65.5,9.6,0.6,1.0,p72147,b496gs285it6bheuikox6z9mj,Aston Villa
Melker Ellborg,3,270,2,10,83.3,2.6,0.6,1.0,p515046,1r3545b2dzan8yqa80gtmcjch,Sunderland
Djordje Petrovic,38,3420,54,109,66.9,51.6,0.6,1.0,p457569,1pse9ta7a45pi2w2grjim70ge,Bournemouth
Walter Benítez,1,90,0,3,100.0,0.3,0.3,0.0,p121709,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
Dan Bentley,3,270,7,7,50.0,7.2,0.1,1.0,p79602,b9si1jn1lfxfund69e9ogcu2n,Wolves
Robin Roefs,35,3150,46,109,70.3,44.0,-0.0,1.0,p498016,1r3545b2dzan8yqa80gtmcjch,Sunderland
Kepa Arrizabalaga,1,90,1,2,66.7,0.9,-0.1,0.0,p109745,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
Freddie Woodman,3,212,4,9,69.2,3.7,-0.3,0.8,p155503,c8h9bw1l82s06h77xxrelzhur,Liverpool
Alphonse Areola,20,1800,37,77,67.5,35.5,-0.5,1.0,p84182,4txjdaqveermfryvbfrr4taf7,West Ham
Antonín Kinsky,7,630,7,10,58.8,6.5,-0.5,0.9,p485055,22doj4sgsocqpxw45h607udje,Spurs
Karl Darlow,22,1980,27,63,70.0,25.4,-0.6,1.0,p59735,48gk2hpqtsl6p9sx9kjhaydq4,Leeds
David Raya,37,3330,26,60,69.8,24.3,-0.7,1.0,p154561,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
Altay Bayindir,6,540,11,13,54.2,10.3,-0.7,0.9,p451302,6eqit8ye8aomdsrrq0hk3v7gh,Man Utd
Hákon Valdimarsson,1,90,3,1,25.0,1.2,-0.8,0.5,p507433,7yx5dqhhphyvfisohikodajhv,Brentford
Sam Johnstone,12,1080,24,39,61.9,18.4,-1.6,0.9,p101982,b9si1jn1lfxfund69e9ogcu2n,Wolves
Nick Pope,27,2417,38,89,70.1,35.0,-2.0,0.9,p98747,7vn2i2kd35zuetw6b38gw9jsz,Newcastle
Lucas Perri,16,1440,29,38,56.7,26.5,-2.5,0.9,p201595,48gk2hpqtsl6p9sx9kjhaydq4,Leeds
Bernd Leno,38,3420,51,98,65.8,45.4,-2.6,0.9,p80201,hzqh7z0mdl3v7gwete66syxp,Fulham
Giorgi Mamardashvili,10,868,18,34,65.4,15.4,-2.6,0.8,p449027,c8h9bw1l82s06h77xxrelzhur,Liverpool
Filip Jörgensen,5,378,5,8,61.5,2.4,-2.6,0.4,p508479,9q0arba2kbnywth8bkxlhgmdr,Chelsea
John Victor,5,438,8,6,42.9,5.2,-2.8,0.6,p221389,1qtaiy11gswx327s0vkibf70n,Nott'm Forest
José Sá,23,2070,37,65,63.7,33.9,-3.1,0.9,p149065,b9si1jn1lfxfund69e9ogcu2n,Wolves
Mads Hermansen,18,1620,28,55,66.3,22.9,-3.1,0.8,p467189,4txjdaqveermfryvbfrr4taf7,West Ham
Alisson Becker,26,2340,31,57,64.8,27.7,-3.3,0.9,p116535,c8h9bw1l82s06h77xxrelzhur,Liverpool
Guglielmo Vicario,31,2790,50,83,62.4,44.5,-5.5,0.9,p184254,22doj4sgsocqpxw45h607udje,Spurs
