player_name,matches_played,mins,all_carries_total,all_carries_distance(M),all_carries_avg(M),progressive_total,progressive_distance(M),progressive_avg(M),ended_with_shot,ended_with_goal,ended_with_chance,ended_with_assist,player_id,club_name
Jan Paul van Hecke,36,3211,919,10668.1,11.6,599,7212.1,12.0,3,0,3,0,p469142,Brighton
Bernardo Silva,38,2886,649,7046.2,10.9,355,3478.1,9.8,7,1,8,0,p165809,Man City
Elliot Anderson,38,3334,637,6453.1,10.1,297,2620.1,8.8,8,2,7,0,p215379,Nott'm Forest
Declan Rice,36,3099,624,7460.8,12.0,328,3660.2,11.2,8,0,8,0,p204480,Arsenal
Marcos Senesi,37,3290,593,5919.2,10.0,388,4123.0,10.6,1,0,6,3,p221466,Bournemouth
Marc Guéhi,35,3150,586,6274.8,10.7,330,3453.7,10.5,0,0,3,1,p209036,Man City
Jérémy Doku,30,1784,571,7288.1,12.8,388,4822.4,12.4,25,3,33,2,p248875,Man City
Ryan Gravenberch,36,2996,566,6165.3,10.9,275,2957.1,10.8,15,2,8,1,p441266,Liverpool
Joachim Andersen,33,2877,556,5811.4,10.5,335,3301.1,9.9,1,0,1,1,p174874,Fulham
Dominik Szoboszlai,36,3233,528,5758.8,10.9,271,2713.8,10.0,11,2,12,1,p424876,Liverpool
Enzo Fernández,36,3121,527,5392.1,10.2,257,2613.6,10.2,6,0,14,1,p448047,Chelsea
Matheus Nunes,34,2865,514,5575.3,10.8,264,2820.6,10.7,2,0,6,2,p465351,Man City
Calvin Bassey,30,2532,510,5395.8,10.6,296,3038.7,10.3,2,0,5,0,p232892,Fulham
Ezri Konsa,34,3036,510,5212.1,10.2,285,2910.3,10.2,0,0,2,0,p199798,Aston Villa
Sander Berge,35,2911,500,5391.2,10.8,235,2306.4,9.8,3,0,5,1,p207189,Fulham
Virgil van Dijk,38,3420,494,4933.5,10.0,290,2903.5,10.0,0,0,3,0,p97032,Liverpool
Ibrahima Konaté,36,3100,488,4878.5,10.0,281,2964.8,10.6,0,0,1,0,p204716,Liverpool
Pedro Neto,33,2643,488,6337.6,13.0,268,3328.9,12.4,17,0,23,3,p247632,Chelsea
Lewis Dunk,32,2837,485,4769.5,9.8,214,1976.0,9.2,0,0,0,0,p83299,Brighton
Iliman Ndiaye,32,2786,476,5804.3,12.2,250,2462.1,9.8,22,2,12,1,p440993,Everton
Rayan Cherki,33,1786,475,5516.9,11.6,247,2819.7,11.4,23,1,16,7,p466052,Man City
Curtis Jones,34,1929,473,4788.1,10.1,204,1528.4,7.5,4,0,5,1,p206915,Liverpool
Rúben Dias,26,2140,469,4775.4,10.2,260,2732.9,10.5,1,0,1,0,p171314,Man City
James Garner,38,3414,462,4791.0,10.4,192,1769.9,9.2,3,0,5,2,p232928,Everton
Antoine Semenyo,37,3200,458,6071.2,13.3,244,2836.5,11.6,26,4,18,3,p437730,Man City
Alex Scott,36,2859,442,4935.4,11.2,218,2177.5,10.0,8,0,8,0,p503139,Bournemouth
João Gomes,35,2833,442,5080.2,11.5,211,1820.2,8.6,5,0,2,0,p448089,Wolves
Adrien Truffert,38,3380,440,4914.0,11.2,279,3154.2,11.3,3,0,7,1,p494521,Bournemouth
Alex Iwobi,29,2434,435,4885.1,11.2,229,2421.7,10.6,11,0,7,0,p153133,Fulham
Bruno Guimarães,29,2455,433,4252.2,9.8,214,1909.5,8.9,4,0,13,2,p208706,Newcastle
Marcus Tavernier,34,2738,419,4905.5,11.7,206,2349.4,11.4,22,0,19,0,p201658,Bournemouth
Martín Zubimendi,37,3001,417,4479.5,10.7,209,2120.2,10.1,2,0,3,0,p481655,Arsenal
Malick Thiaw,35,2964,417,4240.1,10.2,247,2536.3,10.3,1,0,0,0,p465642,Newcastle
Morgan Rogers,37,3285,415,4900.5,11.8,223,2520.4,11.3,30,3,16,1,p244850,Aston Villa
Maxence Lacroix,35,3087,414,3886.2,9.4,217,2148.9,9.9,0,0,1,0,p437499,Crystal Palace
Omar Alderete,33,2802,407,4514.4,11.1,268,2968.8,11.1,1,0,2,1,p201895,Sunderland
Matheus Cunha,33,2503,406,5143.6,12.7,239,3183.2,13.3,35,3,11,2,p430871,Man Utd
Bukayo Saka,31,2225,400,4763.2,11.9,207,2192.8,10.6,30,3,26,4,p223340,Arsenal
Yankuba Minteh,34,2398,398,4840.8,12.2,252,2767.5,11.0,14,1,13,2,p592031,Brighton
Jarrod Bowen,38,3405,395,5225.2,13.2,269,3386.7,12.6,27,2,18,4,p178186,West Ham
Neco Williams,37,3206,393,4412.7,11.2,223,2453.7,11.0,7,0,7,0,p215136,Nott'm Forest
William Saliba,30,2615,393,3806.2,9.7,225,2345.9,10.4,0,0,0,0,p462424,Arsenal
Cody Gakpo,35,2747,392,4568.6,11.7,213,2038.7,9.6,41,2,16,1,p243298,Liverpool
Sandro Tonali,34,2543,391,4220.7,10.8,173,1762.5,10.2,4,0,6,0,p432422,Newcastle
Amad Diallo,32,2344,388,4702.4,12.1,221,2232.9,10.1,24,0,18,1,p493250,Man Utd
Moisés Caicedo,33,2802,388,3680.4,9.5,179,1642.2,9.2,7,1,3,0,p486672,Chelsea
Bruno Fernandes,35,3066,384,4222.8,11.0,216,2427.5,11.2,12,0,17,3,p141746,Man Utd
Nathan Collins,34,2972,380,4349.1,11.4,218,2694.6,12.4,1,0,1,0,p432830,Brentford
Crysencio Summerville,31,2480,379,4956.7,13.1,203,2303.9,11.3,25,2,12,1,p450070,West Ham
Jaidon Anthony,36,2735,375,4300.6,11.5,200,2143.6,10.7,20,3,12,1,p444180,Burnley
Ferdi Kadioglu,37,3134,371,4798.1,12.9,217,2775.5,12.8,5,0,1,0,p231416,Brighton
Micky van de Ven,35,3043,368,4303.6,11.7,199,2379.2,12.0,0,0,1,0,p491279,Spurs
Nico O'Reilly,34,2648,368,4290.9,11.7,213,2464.6,11.6,6,1,5,0,p472769,Man City
Mateus Fernandes,36,3024,364,4296.7,11.8,164,1737.4,10.6,7,0,6,1,p551226,West Ham
Michael Kayode,37,3264,363,4442.4,12.2,192,2121.8,11.1,3,0,7,0,p607464,Brentford
Pau Torres,21,1676,360,4234.9,11.8,229,2730.4,11.9,0,0,1,0,p244954,Aston Villa
Luke Shaw,37,3231,359,3880.9,10.8,211,2265.6,10.7,2,0,5,0,p106760,Man Utd
Ethan Ampadu,34,3123,358,3852.3,10.8,155,1457.7,9.4,3,0,2,0,p199598,Leeds
Florian Wirtz,33,2388,354,3809.4,10.8,152,1360.5,9.0,12,1,21,1,p494595,Liverpool
Hugo Bueno,35,2364,351,4394.1,12.5,232,2815.7,12.1,3,0,8,1,p490721,Wolves
Callum Hudson_Odoi,30,1844,349,4451.6,12.8,199,2403.7,12.1,17,2,26,0,p209046,Nott'm Forest
Granit Xhaka,34,2903,348,3475.1,10.0,179,1628.1,9.1,2,0,1,0,p84450,Sunderland
Álex Jiménez,30,2323,347,4853.7,14.0,235,3275.6,13.9,4,0,5,0,p551483,Bournemouth
Matty Cash,35,3020,346,3518.2,10.2,140,894.1,6.4,8,1,5,0,p199796,Aston Villa
Trevoh Chalobah,33,2782,343,3165.5,9.2,176,1534.9,8.7,1,0,0,0,p180736,Chelsea
Pedro Porro,34,2798,343,3678.4,10.7,204,2168.1,10.6,3,0,8,0,p441164,Spurs
Morgan Gibbs_White,37,3110,342,4067.1,11.9,197,2330.7,11.8,10,1,14,1,p222531,Nott'm Forest
Lewis Hall,30,2179,336,3691.8,11.0,195,2028.3,10.4,5,0,3,0,p487838,Newcastle
Noah Sadiki,33,2894,336,3637.3,10.8,177,1693.9,9.6,4,0,7,0,p577669,Sunderland
Nordi Mukiele,31,2787,334,3735.5,11.2,194,1947.4,10.0,4,1,4,1,p200834,Sunderland
Dan Ballard,28,2148,332,3909.2,11.8,195,2316.2,11.9,1,1,2,0,p223827,Sunderland
Tyrick Mitchell,38,3253,327,3736.2,11.4,208,2182.9,10.5,6,0,10,1,p244723,Crystal Palace
Jack Grealish,20,1631,326,3927.6,12.0,178,1737.8,9.8,10,1,14,3,p114283,Everton
Martin Ødegaard,24,1370,325,3771.9,11.6,142,1379.9,9.7,9,0,14,2,p184029,Arsenal
Djed Spence,28,2056,322,4003.0,12.4,171,2134.3,12.5,5,0,5,0,p232859,Spurs
Pascal Struijk,34,2937,322,3014.7,9.4,175,1545.6,8.8,0,0,0,0,p222694,Leeds
Rodri,21,1513,321,3057.4,9.5,159,1391.4,8.8,2,0,3,0,p220566,Man City
Cole Palmer,25,1965,316,3954.7,12.5,181,2115.9,11.7,17,1,11,0,p244851,Chelsea
Gabriel Magalhães,31,2751,315,2991.3,9.5,192,1860.7,9.7,1,0,1,0,p226597,Arsenal
Yehor Yarmoliuk,36,2665,314,3414.5,10.9,136,1057.3,7.8,2,0,3,0,p508395,Brentford
Enzo Le Fée,36,2934,313,3201.6,10.2,140,1093.8,7.8,10,0,5,0,p484420,Sunderland
Malo Gusto,34,2267,312,3272.4,10.5,161,1302.5,8.1,3,0,9,1,p482609,Chelsea
Josko Gvardiol,18,1374,308,3435.1,11.2,176,1909.8,10.9,2,0,0,0,p477424,Man City
James Tarkowski,37,3330,307,3045.9,9.9,166,1650.2,9.9,0,0,1,0,p17761,Everton
Mohamed Salah,27,2148,306,3655.9,11.9,181,1885.5,10.4,25,3,14,1,p118748,Liverpool
Omari Hutchinson,30,1684,305,3701.1,12.1,165,1754.3,10.6,11,0,13,3,p503301,Nott'm Forest
Gabriel Gudmundsson,32,2637,302,3805.5,12.6,203,2588.7,12.8,2,0,10,0,p243526,Leeds
Phil Foden,33,2084,301,3027.5,10.1,137,1183.2,8.6,14,1,7,1,p209244,Man City
Kiernan Dewsbury_Hall,31,2635,299,3569.2,11.9,160,1983.0,12.4,8,2,11,2,p215413,Everton
Leandro Trossard,31,2006,298,3487.8,11.7,145,1300.0,9.0,14,1,13,4,p116216,Arsenal
