player_name,matches_played,mins,total_assist,op_assist,total_chances_created,op_chances_created,total_xa,op_xa,player_id,club_name
Bruno Fernandes,35,3066,21,10,136,88,12.32,9.12,p141746,Man Utd
Dominik Szoboszlai,36,3233,7,2,78,39,6.81,3.88,p424876,Liverpool
Enzo Fernández,36,3121,4,3,68,58,7.25,6.39,p448047,Chelsea
Declan Rice,36,3099,5,2,63,33,6.96,3.69,p204480,Arsenal
Anton Stach,29,2378,3,2,63,30,4.51,2.07,p466525,Leeds
Bukayo Saka,31,2225,5,3,61,46,7.16,5.63,p223340,Arsenal
Florian Wirtz,33,2388,3,3,60,54,5.17,4.81,p494595,Liverpool
Rayan Cherki,33,1786,12,11,60,39,8.65,7.79,p466052,Man City
Jérémy Doku,30,1784,5,5,59,54,6.18,6.18,p248875,Man City
James Garner,38,3414,7,3,56,26,5.95,2.91,p232928,Everton
Cody Gakpo,36,2747,5,4,54,46,4.69,4.17,p243298,Liverpool
Phil Foden,33,2084,5,4,54,31,4.77,2.91,p209244,Man City
Elliot Anderson,38,3334,4,2,54,30,4.79,3.62,p215379,Nott'm Forest
Marcus Tavernier,34,2738,4,3,54,43,4.64,4.00,p201658,Bournemouth
Pedro Neto,34,2643,6,5,53,38,6.83,5.37,p247632,Chelsea
Enzo Le Fée,36,2934,6,5,53,35,5.92,4.85,p484420,Sunderland
Pedro Porro,34,2798,2,1,53,31,4.48,3.30,p441164,Spurs
Mohamed Salah,27,2148,7,4,49,37,5.31,4.19,p118748,Liverpool
Morgan Gibbs-White,37,3110,4,4,49,42,2.92,2.74,p222531,Nott'm Forest
Yéremy Pino,34,2091,2,1,48,37,6.11,4.60,p488024,Crystal Palace
Bryan Mbeumo,33,2621,3,3,47,29,5.04,3.69,p446008,Man Utd
Bernardo Silva,38,2886,4,3,47,32,4.08,3.18,p165809,Man City
Morgan Rogers,37,3285,6,6,47,41,4.30,4.30,p244850,Aston Villa
Bruno Guimarães,29,2455,5,3,45,29,4.98,3.70,p208706,Newcastle
Jarrod Bowen,38,3405,11,6,45,26,5.24,3.93,p178186,West Ham
Yankuba Minteh,34,2398,4,4,44,35,5.12,4.92,p592031,Brighton
Adam Wharton,34,2562,5,5,44,23,7.38,5.45,p496221,Crystal Palace
Alex Iwobi,29,2434,3,2,44,30,4.69,3.68,p153133,Fulham
Callum Hudson-Odoi,30,1844,4,4,44,40,2.98,2.93,p209046,Nott'm Forest
Mikkel Damsgaard,33,2057,4,4,42,29,5.44,4.42,p440089,Brentford
Amad Diallo,32,2344,3,3,41,35,4.78,4.54,p493250,Man Utd
John McGinn,30,2157,4,3,41,32,3.99,3.01,p122806,Aston Villa
Pascal Groß,19,1636,3,3,39,24,3.83,2.92,p60307,Brighton
Martin Ødegaard,24,1370,6,5,39,30,3.67,3.20,p184029,Arsenal
Harry Wilson,36,2691,7,3,39,20,4.78,3.28,p153682,Fulham
Antoine Semenyo,37,3200,4,4,39,32,3.12,3.02,p437730,Man City
Marc Cucurella,34,2710,4,3,39,34,3.21,3.20,p179268,Chelsea
Hugo Bueno,35,2364,2,1,38,26,3.51,2.50,p490721,Wolves
Jack Grealish,20,1631,6,4,38,32,3.57,3.57,p114283,Everton
Jaidon Anthony,37,2735,2,2,37,32,2.87,2.78,p444180,Burnley
Kiernan Dewsbury-Hall,31,2635,4,3,37,26,5.38,4.42,p215413,Everton
Mateus Fernandes,36,3024,4,4,37,28,2.97,2.51,p551226,West Ham
Neco Williams,37,3206,3,2,36,28,3.96,3.55,p215136,Nott'm Forest
Leandro Trossard,31,2006,6,5,36,30,3.56,3.53,p116216,Arsenal
Casemiro,34,2588,2,2,36,34,3.12,3.12,p61256,Man Utd
Alexis Mac Allister,37,2662,4,3,35,29,1.68,1.49,p243016,Liverpool
Matheus Cunha,33,2503,2,2,34,32,3.28,3.28,p430871,Man Utd
Michael Kayode,37,3264,1,1,34,17,2.94,1.91,p607464,Brentford
Granit Xhaka,34,2903,6,2,34,19,3.71,2.10,p84450,Sunderland
Brenden Aaronson,37,2465,5,5,34,29,3.63,3.63,p427637,Leeds
Xavi Simons,28,1757,5,4,34,25,3.86,3.41,p493362,Spurs
Mathias Jensen,36,2252,1,1,33,16,6.02,4.05,p207283,Brentford
Omari Hutchinson,31,1684,5,4,33,26,3.91,3.60,p503301,Nott'm Forest
Maxim De Cuyper,30,1414,3,2,32,18,4.13,2.53,p465730,Brighton
Youri Tielemans,25,1862,4,2,32,20,3.33,2.53,p166989,Aston Villa
Adrien Truffert,38,3380,5,5,32,27,2.98,2.95,p494521,Bournemouth
Sandro Tonali,35,2543,2,1,32,21,2.89,1.75,p432422,Newcastle
Evanilson,36,2759,1,1,31,30,1.49,1.49,p444102,Bournemouth
Mateus Mané,27,1790,1,1,30,15,3.69,2.54,p647671,Wolves
Emiliano Buendía,36,1759,2,1,30,28,2.29,2.28,p195546,Aston Villa
Matty Cash,35,3020,3,1,30,18,2.95,1.94,p199796,Aston Villa
Mathys Tel,31,1342,1,0,30,17,2.43,1.70,p511499,Spurs
Iliman Ndiaye,32,2786,3,3,30,27,4.41,4.41,p440993,Everton
Kaoru Mitoma,25,1721,1,1,30,29,2.84,2.84,p451340,Brighton
Tyrick Mitchell,38,3253,2,2,29,27,2.52,2.52,p244723,Crystal Palace
Ryan Gravenberch,36,2996,3,2,29,26,2.26,2.26,p441266,Liverpool
João Pedro,35,2674,5,4,29,24,2.00,2.00,p475168,Chelsea
Trai Hume,38,3037,1,1,29,25,2.01,1.75,p487676,Sunderland
Alejandro Garnacho,24,1268,4,4,29,25,3.68,3.68,p493105,Chelsea
El Hadji Malick Diouf,32,2711,5,4,29,23,2.49,2.13,p613804,West Ham
Diogo Dalot,34,2616,3,3,29,25,2.57,2.51,p216051,Man Utd
Kieran Trippier,21,1592,1,1,28,15,2.01,1.13,p77794,Newcastle
Kevin Schade,35,2757,3,3,28,25,2.08,2.05,p513418,Brentford
Matheus Nunes,34,2865,5,5,28,23,2.24,2.20,p465351,Man City
Crysencio Summerville,31,2480,2,1,28,23,3.42,2.84,p450070,West Ham
Sasa Lukic,26,1734,2,1,28,17,1.91,1.12,p212314,Fulham
