player_name,matches_played,mins,tackles,ints,pos_won,blocks,clearances,total_ground_duel,ground_duel_won,ground_percentage,total_aerial_duel,total_aerial_won,total_aerial_percentage,player_id,club_name
Elliot Anderson,38,3334,104,41,306,15,49,430,231,53.7%,112,66,58.9%,p215379,Nott'm Forest
André,35,2766,82,30,212,13,50,272,144,52.9%,19,4,21.1%,p509291,Wolves
Alex Scott,37,2859,60,36,195,14,81,265,148,55.8%,68,37,54.4%,p503139,Bournemouth
João Gomes,35,2833,107,36,194,6,45,394,199,50.5%,54,27,50.0%,p448089,Wolves
Adrien Truffert,38,3380,103,48,188,10,143,301,168,55.8%,98,44,44.9%,p494521,Bournemouth
Tyrick Mitchell,38,3253,101,34,187,12,100,239,144,60.3%,67,26,38.8%,p244723,Crystal Palace
Dominik Szoboszlai,36,3233,56,30,187,8,58,243,112,46.1%,43,19,44.2%,p424876,Liverpool
Yehor Yarmoliuk,37,2665,70,28,187,14,41,224,97,43.3%,58,32,55.2%,p508395,Brentford
James Garner,38,3414,120,59,184,10,85,294,179,60.9%,47,30,63.8%,p232928,Everton
Mateus Fernandes,36,3024,103,35,182,12,36,320,180,56.3%,39,19,48.7%,p551226,West Ham
Ethan Ampadu,35,3123,81,50,182,17,83,206,127,61.6%,89,57,64.0%,p199598,Leeds
Declan Rice,36,3099,70,37,180,12,78,167,95,56.9%,74,50,67.6%,p204480,Arsenal
Granit Xhaka,34,2903,50,29,179,20,85,166,99,59.6%,91,56,61.5%,p84450,Sunderland
Iliman Ndiaye,32,2786,70,16,178,2,19,362,180,49.7%,47,11,23.4%,p440993,Everton
Moisés Caicedo,33,2802,87,59,177,15,28,265,157,59.2%,44,15,34.1%,p486672,Chelsea
Matheus Nunes,34,2865,57,30,169,8,100,198,115,58.1%,69,42,60.9%,p465351,Man City
Bruno Fernandes,35,3066,54,20,167,5,42,218,103,47.2%,54,21,38.9%,p141746,Man Utd
Adam Wharton,34,2562,70,27,165,3,42,233,116,49.8%,55,24,43.6%,p496221,Crystal Palace
Neco Williams,37,3206,96,47,164,17,88,308,177,57.5%,78,39,50.0%,p215136,Nott'm Forest
Michael Kayode,37,3264,67,38,163,13,99,301,172,57.1%,68,41,60.3%,p607464,Brentford
Jarrod Bowen,38,3405,50,27,159,6,39,337,152,45.1%,90,33,36.7%,p178186,West Ham
Kyle Walker,36,3097,56,45,155,9,102,169,91,53.8%,92,47,51.1%,p58621,Burnley
Marcos Senesi,37,3290,62,56,154,47,253,182,104,57.1%,192,92,47.9%,p221466,Bournemouth
Enzo Le Fée,36,2934,89,29,154,12,36,273,139,50.9%,69,18,26.1%,p484420,Sunderland
Marcus Tavernier,34,2738,40,17,150,6,39,257,114,44.4%,62,24,38.7%,p201658,Bournemouth
Sandro Tonali,35,2543,35,31,147,7,37,169,94,55.6%,26,13,50.0%,p432422,Newcastle
Bernardo Silva,38,2886,54,22,146,6,34,221,97,43.9%,25,4,16.0%,p165809,Man City
Curtis Jones,34,1929,40,18,144,6,29,163,91,55.8%,38,11,28.9%,p206915,Liverpool
Antoine Semenyo,37,3200,45,13,143,7,29,335,125,37.3%,120,59,49.2%,p437730,Man City
Jaidon Anthony,37,2735,42,15,141,7,27,285,122,42.8%,37,12,32.4%,p444180,Burnley
Enzo Fernández,36,3121,53,21,140,2,28,258,111,43.0%,52,26,50.0%,p448047,Chelsea
Mikkel Damsgaard,33,2057,57,25,139,4,16,225,97,43.1%,46,19,41.3%,p440089,Brentford
Nathan Collins,35,2972,31,37,139,40,209,96,55,57.3%,162,89,54.9%,p432830,Brentford
Morgan Rogers,37,3285,42,13,139,2,32,354,132,37.3%,88,26,29.5%,p244850,Aston Villa
Marc Guéhi,35,3150,46,50,138,22,164,148,91,61.5%,158,103,65.2%,p209036,Man City
Casemiro,34,2588,90,31,138,27,73,246,131,53.3%,111,57,51.4%,p61256,Man Utd
Lewis Dunk,33,2837,35,30,136,26,142,91,51,56.0%,126,76,60.3%,p83299,Brighton
Bruno Guimarães,29,2455,62,15,135,3,36,298,155,52.0%,35,13,37.1%,p208706,Newcastle
Diogo Dalot,34,2616,53,27,135,9,92,154,83,53.9%,73,52,71.2%,p216051,Man Utd
Álex Jiménez,31,2323,69,27,135,10,41,242,128,52.9%,35,13,37.1%,p551483,Bournemouth
Lewis Hall,30,2179,54,28,134,14,77,233,132,56.7%,58,26,44.8%,p487838,Newcastle
Kiernan Dewsbury-Hall,31,2635,52,12,134,4,28,245,126,51.4%,46,21,45.7%,p215413,Everton
Jayden Bogle,34,2802,66,34,134,5,73,250,114,45.6%,53,24,45.3%,p226182,Leeds
Sander Berge,35,2911,57,25,133,15,50,158,80,50.6%,81,50,61.7%,p207189,Fulham
Pedro Porro,34,2798,76,31,133,10,102,226,121,53.5%,44,19,43.2%,p441164,Spurs
Nordi Mukiele,32,2787,69,40,131,10,156,182,104,57.1%,132,79,59.8%,p200834,Sunderland
Ferdi Kadioglu,37,3134,57,26,130,5,81,188,104,55.3%,64,32,50.0%,p231416,Brighton
Rodrigo Bentancur,26,1892,56,35,130,7,48,134,84,62.7%,76,31,40.8%,p202993,Spurs
Brenden Aaronson,37,2465,50,15,130,4,17,317,132,41.6%,72,24,33.3%,p427637,Leeds
Ryan Gravenberch,36,2996,59,48,128,11,53,235,133,56.6%,49,27,55.1%,p441266,Liverpool
Matheus Cunha,33,2503,39,21,127,3,22,279,136,48.7%,74,28,37.8%,p430871,Man Utd
Alex Iwobi,29,2434,27,14,127,3,18,122,55,45.1%,15,7,46.7%,p153133,Fulham
El Hadji Malick Diouf,32,2711,44,33,126,12,116,173,92,53.2%,82,45,54.9%,p613804,West Ham
Yasin Ayari,29,1924,47,26,124,4,24,189,93,49.2%,26,9,34.6%,p509416,Brighton
Malo Gusto,34,2267,53,31,122,2,39,155,86,55.5%,33,15,45.5%,p482609,Chelsea
Micky van de Ven,35,3043,39,22,122,22,131,118,72,61.0%,101,47,46.5%,p491279,Spurs
Crysencio Summerville,31,2480,45,16,120,4,30,315,163,51.7%,23,7,30.4%,p450070,West Ham
Joelinton,27,1953,43,30,120,3,40,186,86,46.2%,110,63,57.3%,p180974,Newcastle
Calvin Bassey,30,2532,62,22,119,21,99,173,112,64.7%,72,39,54.2%,p232892,Fulham
Trevoh Chalobah,34,2782,35,35,119,16,178,94,59,62.8%,135,75,55.6%,p180736,Chelsea
Anton Stach,29,2378,65,20,119,9,52,215,107,49.8%,77,48,62.3%,p466525,Leeds
Malick Thiaw,35,2964,44,31,118,33,184,98,62,63.3%,175,114,65.1%,p465642,Newcastle
Pascal Struijk,34,2937,39,31,118,17,207,116,64,55.2%,197,110,55.8%,p222694,Leeds
Bukayo Saka,31,2225,41,16,117,1,11,275,145,52.7%,52,22,42.3%,p223340,Arsenal
Ibrahima Konaté,36,3100,53,29,117,23,190,145,96,66.2%,174,124,71.3%,p204716,Liverpool
Mathias Jensen,36,2252,41,21,117,4,37,170,75,44.1%,29,8,27.6%,p207283,Brentford
Martín Zubimendi,38,3001,68,39,116,5,78,158,88,55.7%,98,65,66.3%,p481655,Arsenal
Hugo Bueno,35,2364,67,38,115,4,67,251,122,48.6%,42,19,45.2%,p490721,Wolves
Florian Wirtz,33,2388,34,11,115,2,13,201,92,45.8%,47,7,14.9%,p494595,Liverpool
Ibrahim Sangaré,28,2080,59,25,114,19,50,179,87,48.6%,51,24,47.1%,p210462,Nott'm Forest
Noah Sadiki,33,2894,46,34,114,10,44,200,112,56.0%,30,11,36.7%,p577669,Sunderland
Jake O'Brien,37,3124,57,15,114,15,144,144,79,54.9%,175,116,66.3%,p512462,Everton
Maxime Estève,34,2937,44,37,114,32,221,92,59,64.1%,118,80,67.8%,p477717,Burnley
Joachim Andersen,33,2877,45,36,114,19,229,113,62,54.9%,110,79,71.8%,p174874,Fulham
Idrissa Gueye,25,2101,43,28,114,7,24,143,81,56.6%,25,13,52.0%,p80801,Everton
Jan Paul van Hecke,36,3211,53,47,113,28,189,148,95,64.2%,194,114,58.8%,p469142,Brighton
Amad Diallo,32,2344,38,17,113,3,29,222,115,51.8%,32,13,40.6%,p493250,Man Utd
Florentino,31,2112,90,41,113,14,56,211,105,49.8%,51,24,47.1%,p216055,Burnley
Marc Cucurella,34,2710,55,32,113,8,87,159,84,52.8%,69,36,52.2%,p179268,Chelsea
William Saliba,31,2615,35,17,113,7,133,99,58,58.6%,132,73,55.3%,p462424,Arsenal
Diego Gómez,32,2136,78,18,112,3,28,233,107,45.9%,92,55,59.8%,p514254,Brighton
Alexis Mac Allister,37,2662,53,21,112,9,35,213,96,45.1%,37,17,45.9%,p243016,Liverpool
Gabriel Gudmundsson,32,2637,65,27,112,7,83,282,160,56.7%,50,18,36.0%,p243526,Leeds
Djed Spence,30,2056,44,18,111,3,52,205,98,47.8%,49,23,46.9%,p232859,Spurs
Morgan Gibbs-White,37,3110,20,13,110,3,32,205,89,43.4%,117,41,35.0%,p222531,Nott'm Forest
Sepp van den Berg,32,2761,23,29,109,22,195,60,35,58.3%,211,140,66.4%,p444765,Brentford
Emiliano Buendía,36,1759,49,15,109,4,20,218,103,47.2%,58,21,36.2%,p195546,Aston Villa
Nico O'Reilly,34,2648,68,20,109,11,72,246,110,44.7%,97,51,52.6%,p472769,Man City
Daichi Kamada,28,1908,63,14,108,1,23,182,102,56.0%,29,14,48.3%,p209400,Crystal Palace
Nikola Milenkovic,38,3375,31,29,108,36,218,86,54,62.8%,128,89,69.5%,p227444,Nott'm Forest
Ezri Konsa,34,3036,22,23,108,26,122,93,68,73.1%,56,32,57.1%,p199798,Aston Villa
Luke Shaw,38,3231,74,46,107,9,95,185,104,56.2%,118,64,54.2%,p106760,Man Utd
Vitalii Mykolenko,33,2960,51,30,107,9,145,176,89,50.6%,88,50,56.8%,p224967,Everton
Rodri,21,1513,41,14,107,3,41,127,79,62.2%,50,39,78.0%,p220566,Man City
Carlos Baleba,31,1662,37,29,105,6,32,154,73,47.4%,50,29,58.0%,p535301,Brighton
Mats Wieffer,26,1908,66,25,103,7,71,194,96,49.5%,90,44,48.9%,p467779,Brighton
Omar Alderete,33,2802,32,36,103,29,217,116,58,50.0%,153,88,57.5%,p201895,Sunderland
Konstantinos Mavropanos,31,2528,40,49,103,27,194,82,50,61.0%,123,84,68.3%,p233963,West Ham
Jefferson Lerma,31,1724,29,25,102,4,61,111,57,51.4%,113,65,57.5%,p152551,Crystal Palace
Phil Foden,33,2084,34,9,102,3,12,176,90,51.1%,24,6,25.0%,p209244,Man City
Trai Hume,38,3037,67,25,102,11,99,195,110,56.4%,133,65,48.9%,p487676,Sunderland
Reece James,29,1961,48,33,102,6,41,142,81,57.0%,47,31,66.0%,p225796,Chelsea
Murillo,25,2133,35,34,102,22,130,92,50,54.3%,46,24,52.2%,p575476,Nott'm Forest
Yéremy Pino,34,2091,36,9,101,1,21,196,78,39.8%,61,22,36.1%,p488024,Crystal Palace
Lesley Ugochukwu,35,2350,51,18,100,21,24,189,96,50.8%,57,26,45.6%,p503714,Burnley
Antonee Robinson,22,1492,48,29,98,3,55,122,69,56.6%,30,18,60.0%,p169528,Fulham
Jordan Henderson,32,1922,27,17,98,7,34,68,35,51.5%,31,13,41.9%,p56979,Brentford
Daniel Muñoz,29,2403,74,26,97,1,97,168,94,56.0%,98,44,44.9%,p247348,Crystal Palace
Jurriën Timber,30,2457,66,24,97,6,53,197,107,54.3%,60,40,66.7%,p445122,Arsenal
