player_name,matches_played,mins,yellows,reds,fouls,pens,player_id,club_id,club_name
Igor Thiago,38,3284,7,0,73,0,p502500,7yx5dqhhphyvfisohikodajhv,Brentford
João Gomes,35,2833,10,0,69,0,p448089,b9si1jn1lfxfund69e9ogcu2n,Wolves
Elliot Anderson,38,3334,8,0,57,1,p215379,1qtaiy11gswx327s0vkibf70n,Nott'm Forest
Antoine Semenyo,37,3200,7,0,56,1,p437730,a3nyxabgsqlnqfkeg41m6tnpp,Man City
Moisés Caicedo,33,2802,11,1,54,1,p486672,9q0arba2kbnywth8bkxlhgmdr,Chelsea
Sasa Lukic,26,1734,9,0,53,0,p212314,hzqh7z0mdl3v7gwete66syxp,Fulham
Jørgen Strand Larsen,36,2316,4,0,52,0,p247412,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
Zian Flemming,29,1776,5,0,50,0,p431639,64bxxwu2mv2qqlv0monbkj1om,Burnley
Kevin Schade,35,2757,6,1,50,0,p513418,7yx5dqhhphyvfisohikodajhv,Brentford
Ethan Ampadu,35,3123,10,0,50,1,p199598,48gk2hpqtsl6p9sx9kjhaydq4,Leeds
Luke Shaw,38,3231,9,0,49,0,p106760,6eqit8ye8aomdsrrq0hk3v7gh,Man Utd
Mateus Fernandes,36,3024,7,0,49,0,p551226,4txjdaqveermfryvbfrr4taf7,West Ham
Crysencio Summerville,31,2480,6,0,49,0,p450070,4txjdaqveermfryvbfrr4taf7,West Ham
Diego Gómez,32,2136,9,0,48,1,p514254,e5p0ehyguld7egzhiedpdnc3w,Brighton
André,35,2766,12,0,47,0,p509291,b9si1jn1lfxfund69e9ogcu2n,Wolves
Thierno Barry,38,1915,3,0,47,0,p586309,ehd2iemqmschhj2ec0vayztzz,Everton
Joelinton,27,1953,10,0,47,0,p180974,7vn2i2kd35zuetw6b38gw9jsz,Newcastle
Raúl Jiménez,36,2199,5,0,46,0,p102057,hzqh7z0mdl3v7gwete66syxp,Fulham
Casemiro,34,2588,9,1,46,0,p61256,6eqit8ye8aomdsrrq0hk3v7gh,Man Utd
Morgan Rogers,37,3285,7,0,46,1,p244850,b496gs285it6bheuikox6z9mj,Aston Villa
Bruno Guimarães,29,2455,6,0,45,0,p208706,7vn2i2kd35zuetw6b38gw9jsz,Newcastle
Marc Cucurella,34,2710,8,1,45,0,p179268,9q0arba2kbnywth8bkxlhgmdr,Chelsea
Dominic Calvert-Lewin,35,2726,3,0,45,0,p177815,48gk2hpqtsl6p9sx9kjhaydq4,Leeds
Nico O'Reilly,34,2648,5,0,45,0,p472769,a3nyxabgsqlnqfkeg41m6tnpp,Man City
Alex Scott,37,2859,5,0,45,1,p503139,1pse9ta7a45pi2w2grjim70ge,Bournemouth
Cody Gakpo,36,2747,3,0,42,0,p243298,c8h9bw1l82s06h77xxrelzhur,Liverpool
Igor Jesus,37,2314,2,0,42,0,p482973,1qtaiy11gswx327s0vkibf70n,Nott'm Forest
Ibrahim Sangaré,28,2080,5,0,42,2,p210462,1qtaiy11gswx327s0vkibf70n,Nott'm Forest
Dominik Szoboszlai,36,3233,8,1,41,0,p424876,c8h9bw1l82s06h77xxrelzhur,Liverpool
Emiliano Buendía,36,1759,6,0,41,0,p195546,b496gs285it6bheuikox6z9mj,Aston Villa
Matty Cash,35,3020,9,0,41,0,p199796,b496gs285it6bheuikox6z9mj,Aston Villa
Florentino,31,2112,6,0,40,2,p216055,64bxxwu2mv2qqlv0monbkj1om,Burnley
Randal Kolo Muani,30,1670,3,0,40,0,p247693,22doj4sgsocqpxw45h607udje,Spurs
Adrien Truffert,38,3380,5,0,39,0,p494521,1pse9ta7a45pi2w2grjim70ge,Bournemouth
James Garner,38,3414,12,0,39,0,p232928,ehd2iemqmschhj2ec0vayztzz,Everton
Jayden Bogle,34,2802,6,0,39,0,p226182,48gk2hpqtsl6p9sx9kjhaydq4,Leeds
Ryan Gravenberch,36,2996,5,0,38,0,p441266,c8h9bw1l82s06h77xxrelzhur,Liverpool
João Pedro,35,2674,5,0,38,0,p475168,9q0arba2kbnywth8bkxlhgmdr,Chelsea
Jurriën Timber,30,2457,5,0,38,0,p445122,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
Bernardo Silva,38,2886,10,0,37,0,p165809,a3nyxabgsqlnqfkeg41m6tnpp,Man City
Tomás Soucek,35,2198,3,1,37,0,p215439,4txjdaqveermfryvbfrr4taf7,West Ham
Yehor Yarmoliuk,37,2665,7,0,37,0,p508395,7yx5dqhhphyvfisohikodajhv,Brentford
Dan Burn,29,2199,9,1,36,1,p78916,7vn2i2kd35zuetw6b38gw9jsz,Newcastle
Enzo Fernández,36,3121,10,0,36,0,p448047,9q0arba2kbnywth8bkxlhgmdr,Chelsea
Anton Stach,29,2378,3,0,36,1,p466525,48gk2hpqtsl6p9sx9kjhaydq4,Leeds
Daniel Muñoz,29,2403,7,0,35,0,p247348,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
Viktor Gyökeres,36,2230,5,0,35,0,p224117,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
Adam Wharton,34,2562,4,1,35,1,p496221,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
Sander Berge,35,2911,5,0,35,1,p207189,hzqh7z0mdl3v7gwete66syxp,Fulham
Alexis Mac Allister,37,2662,7,0,35,0,p243016,c8h9bw1l82s06h77xxrelzhur,Liverpool
Ollie Watkins,37,2852,4,0,35,0,p178301,b496gs285it6bheuikox6z9mj,Aston Villa
Tyler Adams,25,1778,8,0,35,0,p200785,1pse9ta7a45pi2w2grjim70ge,Bournemouth
Nordi Mukiele,32,2787,5,0,35,0,p200834,1r3545b2dzan8yqa80gtmcjch,Sunderland
Álex Jiménez,31,2323,10,0,35,1,p551483,1pse9ta7a45pi2w2grjim70ge,Bournemouth
Hugo Ekitiké,28,1810,0,0,35,0,p510663,c8h9bw1l82s06h77xxrelzhur,Liverpool
Yerson Mosquera,27,2142,11,0,34,2,p501837,b9si1jn1lfxfund69e9ogcu2n,Wolves
Maxence Lacroix,35,3087,4,1,34,2,p437499,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
Marcos Senesi,37,3290,8,0,34,0,p221466,1pse9ta7a45pi2w2grjim70ge,Bournemouth
Omar Alderete,33,2802,6,0,34,0,p201895,1r3545b2dzan8yqa80gtmcjch,Sunderland
Jack Hinshelwood,27,1750,0,0,33,0,p532529,e5p0ehyguld7egzhiedpdnc3w,Brighton
Ladislav Krejcí,28,2361,3,1,33,0,p431248,b9si1jn1lfxfund69e9ogcu2n,Wolves
Martín Zubimendi,38,3001,4,0,33,0,p481655,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
Bukayo Saka,31,2225,2,0,33,0,p223340,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
Ryan Sessegnon,27,1822,0,0,33,2,p184349,hzqh7z0mdl3v7gwete66syxp,Fulham
Ibrahima Konaté,36,3100,7,0,33,1,p204716,c8h9bw1l82s06h77xxrelzhur,Liverpool
Beto,37,1565,3,0,33,0,p486385,ehd2iemqmschhj2ec0vayztzz,Everton
Yankuba Minteh,34,2398,3,0,32,0,p592031,e5p0ehyguld7egzhiedpdnc3w,Brighton
Kyle Walker,36,3097,9,0,32,0,p58621,64bxxwu2mv2qqlv0monbkj1om,Burnley
Brian Brobbey,31,1931,6,0,32,1,p441264,1r3545b2dzan8yqa80gtmcjch,Sunderland
Noah Sadiki,33,2894,9,0,32,0,p577669,1r3545b2dzan8yqa80gtmcjch,Sunderland
Reinildo Mandava,25,1969,7,1,32,1,p434399,1r3545b2dzan8yqa80gtmcjch,Sunderland
Kiernan Dewsbury-Hall,31,2635,6,0,32,1,p215413,ehd2iemqmschhj2ec0vayztzz,Everton
Pedro Porro,34,2798,10,0,32,0,p441164,22doj4sgsocqpxw45h607udje,Spurs
James Tarkowski,37,3330,8,0,32,1,p17761,ehd2iemqmschhj2ec0vayztzz,Everton
Valentín Castellanos,18,1395,6,0,32,0,p247670,4txjdaqveermfryvbfrr4taf7,West Ham
Cristian Romero,23,1872,9,2,32,0,p221632,22doj4sgsocqpxw45h607udje,Spurs
Carlos Baleba,31,1662,5,0,31,1,p535301,e5p0ehyguld7egzhiedpdnc3w,Brighton
Josh Laurent,33,1759,7,1,31,1,p167887,64bxxwu2mv2qqlv0monbkj1om,Burnley
John McGinn,30,2157,5,0,31,0,p122806,b496gs285it6bheuikox6z9mj,Aston Villa
Trai Hume,38,3037,9,0,31,1,p487676,1r3545b2dzan8yqa80gtmcjch,Sunderland
Enzo Le Fée,36,2934,5,0,31,0,p484420,1r3545b2dzan8yqa80gtmcjch,Sunderland
Kaoru Mitoma,25,1721,5,0,31,0,p451340,e5p0ehyguld7egzhiedpdnc3w,Brighton
Joachim Andersen,33,2877,7,1,31,0,p174874,hzqh7z0mdl3v7gwete66syxp,Fulham
Gabriel Gudmundsson,32,2637,4,1,31,0,p243526,48gk2hpqtsl6p9sx9kjhaydq4,Leeds
Danny Welbeck,37,2263,5,0,30,0,p50175,e5p0ehyguld7egzhiedpdnc3w,Brighton
Georginio Rutter,32,1790,2,0,30,0,p463067,e5p0ehyguld7egzhiedpdnc3w,Brighton
Mats Wieffer,26,1908,8,0,30,0,p467779,e5p0ehyguld7egzhiedpdnc3w,Brighton
Santiago Bueno,29,2553,4,0,30,0,p231480,b9si1jn1lfxfund69e9ogcu2n,Wolves
Yéremy Pino,34,2091,4,0,30,0,p488024,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
Daichi Kamada,28,1908,3,0,30,0,p209400,1c8m2ko0wxq1asfkuykurdr0y,Crystal Palace
Nico González,25,1567,6,0,30,0,p465694,a3nyxabgsqlnqfkeg41m6tnpp,Man City
Neco Williams,37,3206,6,1,30,1,p215136,1qtaiy11gswx327s0vkibf70n,Nott'm Forest
Marcus Tavernier,34,2738,6,0,30,0,p201658,1pse9ta7a45pi2w2grjim70ge,Bournemouth
Iliman Ndiaye,32,2786,2,0,30,0,p440993,ehd2iemqmschhj2ec0vayztzz,Everton
Amine Adli,31,1082,2,0,29,0,p489888,1pse9ta7a45pi2w2grjim70ge,Bournemouth
Tim Iroegbunam,29,1485,9,0,29,0,p490094,ehd2iemqmschhj2ec0vayztzz,Everton
Vitalii Mykolenko,33,2960,6,0,29,0,p224967,ehd2iemqmschhj2ec0vayztzz,Everton
Pape Matar Sarr,26,1391,3,0,29,0,p482442,22doj4sgsocqpxw45h607udje,Spurs
Dan Ballard,29,2148,4,1,29,0,p223827,1r3545b2dzan8yqa80gtmcjch,Sunderland
Lesley Ugochukwu,35,2350,1,1,28,1,p503714,64bxxwu2mv2qqlv0monbkj1om,Burnley
Hwang Hee-Chan,26,1452,5,0,28,0,p184754,b9si1jn1lfxfund69e9ogcu2n,Wolves
Jaidon Anthony,37,2735,4,0,28,1,p444180,64bxxwu2mv2qqlv0monbkj1om,Burnley
Calvin Bassey,30,2532,5,0,28,1,p232892,hzqh7z0mdl3v7gwete66syxp,Fulham
João Palhinha,33,2197,8,0,28,0,p154296,22doj4sgsocqpxw45h607udje,Spurs
Micky van de Ven,35,3043,9,1,28,1,p491279,22doj4sgsocqpxw45h607udje,Spurs
Djed Spence,30,2056,4,0,28,0,p232859,22doj4sgsocqpxw45h607udje,Spurs
El Hadji Malick Diouf,32,2711,6,0,28,2,p613804,4txjdaqveermfryvbfrr4taf7,West Ham
Lucas Paquetá,18,1521,5,1,28,1,p224024,4txjdaqveermfryvbfrr4taf7,West Ham
Jan Paul van Hecke,36,3211,9,0,27,1,p469142,e5p0ehyguld7egzhiedpdnc3w,Brighton
Matheus Cunha,33,2503,4,0,27,0,p430871,6eqit8ye8aomdsrrq0hk3v7gh,Man Utd
Kenny Tete,22,1794,2,0,27,0,p167074,hzqh7z0mdl3v7gwete66syxp,Fulham
Dango Ouattara,32,2279,5,0,27,0,p533463,7yx5dqhhphyvfisohikodajhv,Brentford
Junior Kroupi,33,1683,5,0,27,0,p560262,1pse9ta7a45pi2w2grjim70ge,Bournemouth
Wesley Fofana,25,1726,5,2,27,0,p444463,9q0arba2kbnywth8bkxlhgmdr,Chelsea
Reece James,29,1961,4,0,27,0,p225796,9q0arba2kbnywth8bkxlhgmdr,Chelsea
Pascal Struijk,34,2937,5,0,27,0,p222694,48gk2hpqtsl6p9sx9kjhaydq4,Leeds
Declan Rice,36,3099,3,0,26,0,p204480,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
Riccardo Calafiori,26,1707,5,0,26,0,p466075,4dsgumo7d4zupm2ugsvm4zm4d,Arsenal
Michael Kayode,37,3264,8,0,26,2,p607464,7yx5dqhhphyvfisohikodajhv,Brentford
Morgan Gibbs-White,37,3110,1,0,26,0,p222531,1qtaiy11gswx327s0vkibf70n,Nott'm Forest
