player_name,matches_played,mins,total_open_play_passes,successfull_open_play_passes,percentage_open_play_passes,in_final_third_total,in_final_third_successfull,in_final_third_percentage,crosses_total,crosses_successful,crosses_percentage,through_balls,player_id,club_name
Virgil van Dijk,38,3420,2792,2485,89.0%,561,410,73.1%,1,0,0.0%,2,p97032,Liverpool
Lewis Dunk,33,2837,2492,2301,92.3%,273,190,69.6%,5,1,20.0%,1,p83299,Brighton
Jan Paul van Hecke,36,3211,2521,2198,87.2%,499,333,66.7%,23,10,43.5%,1,p469142,Brighton
Trevoh Chalobah,34,2782,2283,2124,93.0%,241,183,75.9%,5,1,20.0%,4,p180736,Chelsea
Marc Guéhi,35,3150,2309,2070,89.7%,495,398,80.4%,17,3,17.6%,3,p209036,Man City
Elliot Anderson,38,3334,2383,2038,85.5%,748,582,77.8%,74,24,32.4%,9,p215379,Nott'm Forest
Ezri Konsa,34,3036,2098,2003,95.5%,221,177,80.1%,5,1,20.0%,1,p199798,Aston Villa
Bernardo Silva,38,2886,2205,1989,90.2%,749,630,84.1%,34,6,17.6%,11,p165809,Man City
Joachim Andersen,33,2877,2275,1958,86.1%,386,227,58.8%,15,4,26.7%,0,p174874,Fulham
William Saliba,31,2615,2104,1954,92.9%,311,258,83.0%,9,4,44.4%,7,p462424,Arsenal
Ibrahima Konaté,36,3100,2168,1943,89.6%,318,249,78.3%,3,1,33.3%,4,p204716,Liverpool
Matheus Nunes,34,2865,2157,1922,89.1%,704,600,85.2%,66,16,24.2%,5,p465351,Man City
Dominik Szoboszlai,36,3233,2187,1919,87.8%,791,660,83.4%,75,20,26.7%,7,p424876,Liverpool
Moisés Caicedo,33,2802,2053,1883,91.7%,482,394,81.7%,7,2,28.6%,12,p486672,Chelsea
Declan Rice,36,3099,2136,1865,87.3%,671,534,79.6%,47,15,31.9%,12,p204480,Arsenal
Marcos Senesi,37,3290,2319,1801,77.7%,621,330,53.1%,26,8,30.8%,14,p221466,Bournemouth
Enzo Fernández,36,3121,2040,1755,86.0%,743,574,77.3%,45,6,13.3%,25,p448047,Chelsea
Martín Zubimendi,38,3001,1928,1684,87.3%,530,414,78.1%,12,3,25.0%,9,p481655,Arsenal
Ryan Gravenberch,36,2996,1860,1653,88.9%,572,465,81.3%,7,0,0.0%,8,p441266,Liverpool
Bruno Fernandes,35,3066,1994,1639,82.2%,871,662,76.0%,76,23,30.3%,39,p141746,Man Utd
Rúben Dias,26,2140,1752,1629,93.0%,279,237,85.0%,9,3,33.3%,1,p171314,Man City
Pascal Struijk,34,2937,1839,1627,88.5%,253,171,67.6%,2,0,0.0%,1,p222694,Leeds
Micky van de Ven,35,3043,1770,1601,90.5%,159,111,69.8%,3,0,0.0%,0,p491279,Spurs
James Garner,38,3414,1793,1564,87.2%,593,490,82.6%,74,18,24.3%,10,p232928,Everton
Sander Berge,35,2911,1729,1553,89.8%,350,296,84.6%,13,3,23.1%,3,p207189,Fulham
Gabriel Magalhães,32,2751,1733,1528,88.2%,299,205,68.6%,5,1,20.0%,4,p226597,Arsenal
Malick Thiaw,35,2964,1695,1519,89.6%,254,192,75.6%,8,1,12.5%,1,p465642,Newcastle
Granit Xhaka,34,2903,1807,1512,83.7%,600,441,73.5%,26,7,26.9%,8,p84450,Sunderland
Curtis Jones,34,1929,1647,1509,91.6%,551,480,87.1%,15,1,6.7%,13,p206915,Liverpool
Calvin Bassey,30,2532,1706,1497,87.8%,232,157,67.7%,14,3,21.4%,0,p232892,Fulham
Luke Shaw,38,3231,1712,1486,86.8%,379,309,81.5%,42,6,14.3%,4,p106760,Man Utd
Ethan Ampadu,35,3123,1731,1482,85.6%,376,283,75.3%,26,10,38.5%,6,p199598,Leeds
Maxence Lacroix,35,3087,1656,1460,88.2%,176,92,52.3%,5,2,40.0%,1,p437499,Crystal Palace
Rodri,21,1513,1618,1458,90.1%,414,340,82.1%,6,1,16.7%,6,p220566,Man City
Nathan Collins,35,2972,1753,1457,83.1%,257,126,49.0%,1,1,100.0%,0,p432830,Brentford
Mateus Fernandes,36,3024,1562,1366,87.5%,456,346,75.9%,29,6,20.7%,14,p551226,West Ham
Nikola Milenkovic,38,3375,1539,1333,86.6%,203,122,60.1%,2,0,0.0%,1,p227444,Nott'm Forest
Sandro Tonali,35,2543,1563,1319,84.4%,512,374,73.0%,38,8,21.1%,3,p432422,Newcastle
Adrien Truffert,38,3380,1560,1302,83.5%,464,368,79.3%,141,32,22.7%,0,p494521,Bournemouth
Casemiro,34,2588,1600,1301,81.3%,436,306,70.2%,17,4,23.5%,13,p61256,Man Utd
Marc Cucurella,34,2710,1445,1268,87.8%,403,331,82.1%,43,13,30.2%,2,p179268,Chelsea
Joe Rodon,35,2953,1450,1267,87.4%,200,130,65.0%,6,3,50.0%,0,p214225,Leeds
Sepp van den Berg,32,2761,1422,1259,88.5%,163,99,60.7%,0,0,0.0%,1,p444765,Brentford
James Tarkowski,37,3330,1559,1257,80.6%,323,151,46.8%,7,2,28.6%,9,p17761,Everton
Bruno Guimarães,29,2455,1451,1250,86.2%,565,446,78.9%,37,8,21.6%,21,p208706,Newcastle
Alexis Mac Allister,37,2662,1438,1245,86.6%,457,366,80.1%,11,2,18.2%,5,p243016,Liverpool
João Gomes,35,2833,1455,1245,85.6%,388,288,74.2%,32,11,34.4%,4,p448089,Wolves
Chris Richards,33,2826,1479,1242,84.0%,217,133,61.3%,13,5,38.5%,3,p427623,Crystal Palace
Alex Iwobi,29,2434,1432,1219,85.1%,493,376,76.3%,53,17,32.1%,10,p153133,Fulham
Florian Wirtz,33,2388,1421,1201,84.5%,730,585,80.1%,18,0,0.0%,12,p494595,Liverpool
André,35,2766,1311,1198,91.4%,229,189,82.5%,13,3,23.1%,1,p509291,Wolves
Matty Cash,35,3020,1393,1191,85.5%,425,330,77.7%,83,14,16.9%,2,p199796,Aston Villa
Nico González,25,1567,1316,1189,90.3%,355,299,84.2%,3,1,33.3%,1,p465694,Man City
Alex Scott,37,2859,1393,1182,84.8%,376,265,70.5%,27,7,25.9%,10,p503139,Bournemouth
Reece James,29,1961,1324,1178,89.0%,369,301,81.6%,53,12,22.6%,6,p225796,Chelsea
