Club ID,Player Id,Club Name,Full Name,Web Name,Pos,Cost
4dsgumo7d4zupm2ugsvm4zm4d,p154561,Arsenal,David Raya Martín,Raya,Goalkeeper,6.2M
4dsgumo7d4zupm2ugsvm4zm4d,p109745,Arsenal,Kepa Arrizabalaga Revuelta,Arrizabalaga,Goalkeeper,4.0M
4dsgumo7d4zupm2ugsvm4zm4d,p463748,Arsenal,Karl Hein,Hein,Goalkeeper,4.0M
4dsgumo7d4zupm2ugsvm4zm4d,p551221,Arsenal,Tommy Setford,Setford,Goalkeeper,3.9M
4dsgumo7d4zupm2ugsvm4zm4d,p226597,Arsenal,Gabriel dos Santos Magalhães,Gabriel,Defender,7.3M
4dsgumo7d4zupm2ugsvm4zm4d,p462424,Arsenal,William Saliba,Saliba,Defender,6.3M
4dsgumo7d4zupm2ugsvm4zm4d,p466075,Arsenal,Riccardo Calafiori,Calafiori,Defender,5.6M
4dsgumo7d4zupm2ugsvm4zm4d,p445122,Arsenal,Jurriën Timber,J.Timber,Defender,6.0M
4dsgumo7d4zupm2ugsvm4zm4d,p440854,Arsenal,Jakub Kiwior,Kiwior,Defender,5.4M
4dsgumo7d4zupm2ugsvm4zm4d,p499169,Arsenal,Myles Lewis-Skelly,Lewis-Skelly,Defender,5.0M
4dsgumo7d4zupm2ugsvm4zm4d,p198869,Arsenal,Benjamin White,White,Defender,5.1M
4dsgumo7d4zupm2ugsvm4zm4d,p563324,Arsenal,Brayden Clarke,Clarke,Defender,3.7M
4dsgumo7d4zupm2ugsvm4zm4d,p588793,Arsenal,Maldini Kacurri,Kacurri,Defender,3.9M
4dsgumo7d4zupm2ugsvm4zm4d,p499167,Arsenal,Josh Nichols,Nichols,Defender,3.7M
4dsgumo7d4zupm2ugsvm4zm4d,p223340,Arsenal,Bukayo Saka,Saka,Midfielder,10.0M
4dsgumo7d4zupm2ugsvm4zm4d,p184029,Arsenal,Martin Ødegaard,Ødegaard,Midfielder,7.8M
4dsgumo7d4zupm2ugsvm4zm4d,p248857,Arsenal,Noni Madueke,Madueke,Midfielder,6.8M
4dsgumo7d4zupm2ugsvm4zm4d,p444145,Arsenal,Gabriel Martinelli Silva,Martinelli,Midfielder,6.8M
4dsgumo7d4zupm2ugsvm4zm4d,p116216,Arsenal,Leandro Trossard,Trossard,Midfielder,6.6M
4dsgumo7d4zupm2ugsvm4zm4d,p204480,Arsenal,Declan Rice,Rice,Midfielder,7.2M
4dsgumo7d4zupm2ugsvm4zm4d,p195384,Arsenal,Mikel Merino Zazón,Merino,Midfielder,5.3M
4dsgumo7d4zupm2ugsvm4zm4d,p438098,Arsenal,Fábio Ferreira Vieira,Fábio Vieira,Midfielder,5.4M
