club_name,matches_played,pressed_seqs,ppda,start_distance(M),total,shot_ending,high_turnovers_goals_ending,high_turnovers_end_in_shot_percentage,club_id
Man City,38,464,11.8,44.6,333,65,7,19.52%,a3nyxabgsqlnqfkeg41m6tnpp
Arsenal,38,433,10.8,44.2,284,42,6,14.79%,4dsgumo7d4zupm2ugsvm4zm4d
Brighton,38,500,10.0,44.1,332,47,7,14.16%,e5p0ehyguld7egzhiedpdnc3w
Leeds,38,452,12.9,42.8,277,53,6,19.13%,48gk2hpqtsl6p9sx9kjhaydq4
Everton,38,463,13.6,42.7,285,38,4,13.33%,ehd2iemqmschhj2ec0vayztzz
Liverpool,38,448,11.5,42.5,285,52,10,18.25%,c8h9bw1l82s06h77xxrelzhur
Bournemouth,38,446,11.1,42.5,298,57,6,19.13%,1pse9ta7a45pi2w2grjim70ge
Man Utd,38,409,12.0,42.0,257,45,7,17.51%,6eqit8ye8aomdsrrq0hk3v7gh
Chelsea,38,399,11.0,42.0,251,58,6,23.11%,9q0arba2kbnywth8bkxlhgmdr
Newcastle,38,431,11.4,41.8,251,30,5,11.95%,7vn2i2kd35zuetw6b38gw9jsz
Spurs,38,420,10.7,41.7,248,31,4,12.50%,22doj4sgsocqpxw45h607udje
Nottm Forest,38,377,14.1,41.4,229,34,3,14.85%,1qtaiy11gswx327s0vkibf70n
Crystal Palace,38,382,13.5,41.2,210,30,4,14.29%,1c8m2ko0wxq1asfkuykurdr0y
Brentford,38,404,12.4,41.1,232,27,4,11.64%,7yx5dqhhphyvfisohikodajhv
Sunderland,38,420,13.1,40.8,246,41,5,16.67%,1r3545b2dzan8yqa80gtmcjch
Fulham,38,345,13.6,40.7,184,31,1,16.85%,hzqh7z0mdl3v7gwete66syxp
West Ham,38,364,14.5,40.6,233,42,4,18.03%,4txjdaqveermfryvbfrr4taf7
Aston Villa,38,379,12.2,40.1,222,38,5,17.12%,b496gs285it6bheuikox6z9mj
Burnley,38,378,14.3,40.0,213,34,5,15.96%,64bxxwu2mv2qqlv0monbkj1om
Wolves,38,355,13.3,39.7,207,28,3,13.53%,b9si1jn1lfxfund69e9ogcu2n
