club_name,matches_played,over_ten_passes,direct_speed,passes_per_seq,sequence_time,build_ups_total,build_ups_goals,direct_attack_total,direct_attack_goal,club_id
Crystal Palace,38,286,2.00,3.15,8.15,50,3,47,0,1c8m2ko0wxq1asfkuykurdr0y
Brentford,38,286,1.93,3.11,8.28,39,3,58,5,7yx5dqhhphyvfisohikodajhv
Leeds,38,325,1.89,3.10,8.13,50,2,42,1,48gk2hpqtsl6p9sx9kjhaydq4
Bournemouth,38,316,1.88,3.19,8.39,63,4,83,6,1pse9ta7a45pi2w2grjim70ge
Man Utd,38,410,1.86,3.64,9.60,94,3,71,3,6eqit8ye8aomdsrrq0hk3v7gh
Newcastle,38,389,1.86,3.66,9.72,101,4,74,1,7vn2i2kd35zuetw6b38gw9jsz
Liverpool,38,565,1.84,4.16,11.48,144,4,81,3,c8h9bw1l82s06h77xxrelzhur
West Ham,38,276,1.84,3.12,8.19,44,1,58,2,4txjdaqveermfryvbfrr4taf7
Brighton,38,425,1.83,3.65,9.98,97,0,39,1,e5p0ehyguld7egzhiedpdnc3w
Wolves,38,250,1.83,3.06,8.20,34,0,36,1,b9si1jn1lfxfund69e9ogcu2n
Arsenal,38,478,1.81,3.82,11.07,112,4,76,6,4dsgumo7d4zupm2ugsvm4zm4d
Burnley,38,294,1.81,3.21,8.12,42,5,53,1,64bxxwu2mv2qqlv0monbkj1om
Nottm Forest,38,325,1.80,3.31,8.80,78,4,52,4,1qtaiy11gswx327s0vkibf70n
Everton,38,274,1.79,3.09,8.40,53,3,44,5,ehd2iemqmschhj2ec0vayztzz
Sunderland,38,275,1.79,3.07,8.37,46,2,30,2,1r3545b2dzan8yqa80gtmcjch
Spurs,38,327,1.77,3.21,8.93,62,1,53,1,22doj4sgsocqpxw45h607udje
Fulham,38,442,1.76,3.94,10.47,94,2,36,2,hzqh7z0mdl3v7gwete66syxp
Aston Villa,38,372,1.70,3.58,10.19,77,1,55,4,b496gs285it6bheuikox6z9mj
Man City,38,689,1.59,4.70,13.44,208,11,48,2,a3nyxabgsqlnqfkeg41m6tnpp
Chelsea,38,613,1.58,4.51,12.04,123,6,72,6,9q0arba2kbnywth8bkxlhgmdr
